2188183561171387127,334,10,2019-01-02,2019-03-20,Sofia,Budapest,725,BOOKED
4323535508030040434,8,9,2019-01-02,2019-04-09,New Delhi,Sydney,87,BOOKED
454396553776035072,86,12,2019-01-02,2019-03-25,Amsterdam,Sydney,283,BOOKED
5401900986077032623,433,9,2019-01-02,2019-04-16,Beijing,Brussels,150,BOOKED
2982690493231102623,253,4,2019-01-02,2019-03-18,Sydney,Osaka,669,BOOKED
3303592101252476893,265,16,2019-01-02,2019-04-26,Beijing,Prague,155,BOOKED
6464899145911761461,201,2,2019-01-02,2019-03-13,Sydney,Buenos Aires,757,BOOKED
9019495296573081408,496,22,2019-01-02,2019-03-28,Toronto,Sydney,383,BOOKED
5501611409415570810,424,25,2019-01-02,2019-03-29,Toronto,Paris,785,BOOKED
8649467720458286245,82,8,2019-01-02,2019-03-10,New York,Sydney,584,BOOKED
3817049762679670509,287,13,2019-01-02,2019-04-27,Prague,Sydney,358,BOOKED
837449549061349558,255,6,2019-01-02,2019-04-10,Sydney,Johannesburg,48,BOOKED
3942300299786576698,62,13,2019-01-02,2019-03-24,Lausanne,Sao Paolo,264,BOOKED
1346351061412184184,434,10,2019-01-03,2019-03-26,Buenos Aires,Lisbon,798,BOOKED
6503402509505848653,433,9,2019-01-03,2019-04-28,Amsterdam,Sydney,58,BOOKED
1906536806489130589,308,9,2019-01-03,2019-03-18,Munich,Kiev,312,BOOKED
8782080557465736900,432,8,2019-01-03,2019-03-21,Paris,Madrid,635,BOOKED
8497779794626234700,453,4,2019-01-03,2019-04-03,Sydney,Sao Paolo,477,BOOKED
8769154323704930060,179,5,2019-01-03,2019-03-29,Warsaw,Oslo,175,BOOKED
2935079461280073667,188,14,2019-01-03,2019-04-07,Paris,Amsterdam,50,BOOKED
7649268053501705912,301,2,2019-01-03,2019-03-06,Sydney,Bogota,351,BOOKED
8995192907205332228,308,9,2019-01-03,2019-03-11,Athens,Paris,153,BOOKED
4363071513558730855,469,20,2019-01-03,2019-04-14,Athens,Budapest,418,BOOKED
3366842613490924138,106,7,2019-01-03,2019-04-22,New Mexico,Toronto,235,BOOKED
